target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,1.000,1.000,1.000,0.008,1.000,1.000,0.000,0.000,0.000,0.000,0.001
Gear_Medium,1.000,1.000,1.000,0.013,1.000,1.000,0.000,0.000,0.000,0.000,0.001
Gear_Small,1.000,1.000,1.000,0.014,1.000,1.000,0.000,0.000,0.000,0.000,0.002
Waterproof_Male,0.000,0.000,0.000,1.000,1.000,0.830,0.001,0.001,0.001,1.000,1.000
M12_Hex_Nut,0.000,0.000,0.000,0.001,0.998,0.936,0.000,0.000,0.000,0.000,0.003
M16_Hex_Nut,0.000,0.000,0.000,0.000,0.999,0.905,0.000,0.000,0.000,0.000,0.000
RGOCG16-50_16mm,0.000,0.002,0.000,1.000,0.001,0.002,1.000,1.000,1.000,0.456,0.999
RGOCG12-50_12mm,0.000,0.020,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.644,1.000
RGOCG8-50_8mm,0.000,0.083,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.833,0.999
USB_Male,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,1.000,0.992
DSUB_Male,0.000,0.000,0.000,0.998,0.000,0.000,0.000,0.000,0.000,0.011,1.000
