model,target,target_name,state,intended_p_A,intended_p_A_lower,intended_p_A_upper,intended_answer,assisted_intended_crop,highest_unrelated_lower,highest_unrelated_upper,highest_unrelated_upper_object,intended_response
gemma4:12b,Gear_Large,Large gear,original,0.9999812841420614,0.9999812841420614,0.9999812841420614,A,False,0.9999728202821028,0.9999728202821028,M12_Hex_Nut,raw/gemma4-12b/original/Gear_Large/Gear_Large.json
gemma4:12b,Gear_Large,Large gear,state_101,0.999952793122396,0.999952793122396,0.999952793122396,A,False,0.9999477863301158,0.9999477863301158,M12_Hex_Nut,raw/gemma4-12b/state_101/Gear_Large/Gear_Large.json
gemma4:12b,Gear_Large,Large gear,state_202,0.9999833106986686,0.9999833106986686,0.9999833106986686,A,False,0.9999212026574468,0.9999212026574468,M16_Hex_Nut,raw/gemma4-12b/state_202/Gear_Large/Gear_Large.json
gemma4:12b,Gear_Large,Large gear,state_303,0.9980188607784208,0.9980188607784208,0.9980188607784208,A,False,0.9999791383736566,0.9999791383736566,M16_Hex_Nut,raw/gemma4-12b/state_303/Gear_Large/Gear_Large.json
gemma4:12b,Gear_Medium,Medium gear,original,0.9999182224243959,0.9999182224243959,0.9999182224243959,A,False,0.9999536275847567,0.9999536275847567,M12_Hex_Nut,raw/gemma4-12b/original/Gear_Medium/Gear_Medium.json
gemma4:12b,Gear_Medium,Medium gear,state_101,0.9999790191650422,0.9999790191650422,0.9999790191650422,A,False,0.9999588727968405,0.9999588727968405,M12_Hex_Nut,raw/gemma4-12b/state_101/Gear_Medium/Gear_Medium.json
gemma4:12b,Gear_Medium,Medium gear,state_202,0.9999865293500613,0.9999865293500613,0.9999865293500613,A,False,0.9990320205589925,0.9990320205589925,M16_Hex_Nut,raw/gemma4-12b/state_202/Gear_Medium/Gear_Medium.json
gemma4:12b,Gear_Medium,Medium gear,state_303,0.9999824762351839,0.9999824762351839,0.9999824762351839,A,False,0.9999592304246162,0.9999592304246162,M12_Hex_Nut,raw/gemma4-12b/state_303/Gear_Medium/Gear_Medium.json
gemma4:12b,Gear_Small,Small gear,original,0.9999948740004996,0.9999948740004996,0.9999948740004996,A,False,0.9999718666068776,0.9999718666068776,M12_Hex_Nut,raw/gemma4-12b/original/Gear_Small/Gear_Small.json
gemma4:12b,Gear_Small,Small gear,state_101,0.9999951124192492,0.9999951124192492,0.9999951124192492,A,False,0.9999599456769135,0.9999599456769135,M12_Hex_Nut,raw/gemma4-12b/state_101/Gear_Small/Gear_Small.json
gemma4:12b,Gear_Small,Small gear,state_202,0.9975086451244511,0.9975086451244511,0.9975086451244511,A,False,0.9992839694116963,0.9992839694116963,M16_Hex_Nut,raw/gemma4-12b/state_202/Gear_Small/Gear_Small.json
gemma4:12b,Gear_Small,Small gear,state_303,0.9999854564669316,0.9999854564669316,0.9999854564669316,A,False,0.9999597072606368,0.9999597072606368,M12_Hex_Nut,raw/gemma4-12b/state_303/Gear_Small/Gear_Small.json
gemma4:12b,Waterproof_Male,Waterproof connector,original,0.9999976158140953,0.9999976158140953,0.9999976158140953,A,False,0.9999938011170572,0.9999938011170572,DSUB_Male,raw/gemma4-12b/original/Waterproof_Male/Waterproof_Male.json
gemma4:12b,Waterproof_Male,Waterproof connector,state_101,0.9999982118606638,0.9999982118606638,0.9999982118606638,A,False,0.9999897480009,0.9999897480009,DSUB_Male,raw/gemma4-12b/state_101/Waterproof_Male/Waterproof_Male.json
gemma4:12b,Waterproof_Male,Waterproof connector,state_202,0.9999841451646687,0.9999841451646687,0.9999841451646687,A,False,0.9999970197676546,0.9999970197676546,DSUB_Male,raw/gemma4-12b/state_202/Waterproof_Male/Waterproof_Male.json
gemma4:12b,Waterproof_Male,Waterproof connector,state_303,0.999996542930667,0.999996542930667,0.999996542930667,A,False,0.9999980926513672,0.9999980926513672,DSUB_Male,raw/gemma4-12b/state_303/Waterproof_Male/Waterproof_Male.json
gemma4:12b,M12_Hex_Nut,M12 hex nut,original,0.9999831914895567,0.9999831914895567,0.9999831914895567,A,False,0.002950938288401994,0.002950938288401994,Waterproof_Male,raw/gemma4-12b/original/M12_Hex_Nut/M12_Hex_Nut.json
gemma4:12b,M12_Hex_Nut,M12 hex nut,state_101,0.9980440139182436,0.9980440139182436,0.9980440139182436,A,False,0.003250728630098888,0.003250728630098888,DSUB_Male,raw/gemma4-12b/state_101/M12_Hex_Nut/M12_Hex_Nut.json
gemma4:12b,M12_Hex_Nut,M12 hex nut,state_202,0.9999744892118427,0.9999744892118427,0.9999744892118427,A,False,0.004764035683982724,0.004764035683982724,Waterproof_Male,raw/gemma4-12b/state_202/M12_Hex_Nut/M12_Hex_Nut.json
gemma4:12b,M12_Hex_Nut,M12 hex nut,state_303,0.9998584985738569,0.9998584985738569,0.9998584985738569,A,False,0.010091019689991699,0.010091019689991699,Waterproof_Male,raw/gemma4-12b/state_303/M12_Hex_Nut/M12_Hex_Nut.json
gemma4:12b,M16_Hex_Nut,M16 hex nut,original,0.9994787573607201,0.9994787573607201,0.9994787573607201,A,False,0.0005668600763250273,0.0005668600763250273,Waterproof_Male,raw/gemma4-12b/original/M16_Hex_Nut/M16_Hex_Nut.json
gemma4:12b,M16_Hex_Nut,M16 hex nut,state_101,0.9050453301833206,0.9050453301833206,0.9050453301833206,A,False,0.0002889762343900406,0.0002889762343900406,DSUB_Male,raw/gemma4-12b/state_101/M16_Hex_Nut/M16_Hex_Nut.json
gemma4:12b,M16_Hex_Nut,M16 hex nut,state_202,0.9999626874936456,0.9999626874936456,0.9999626874936456,A,False,0.001661423222733241,0.001661423222733241,Waterproof_Male,raw/gemma4-12b/state_202/M16_Hex_Nut/M16_Hex_Nut.json
gemma4:12b,M16_Hex_Nut,M16 hex nut,state_303,0.999869465820847,0.999869465820847,0.999869465820847,A,False,0.003761136756020114,0.003761136756020114,Waterproof_Male,raw/gemma4-12b/state_303/M16_Hex_Nut/M16_Hex_Nut.json
gemma4:12b,RGOCG16-50_16mm,16 mm round pin,original,0.999995231628418,0.999995231628418,0.999995231628418,A,False,0.9993826150616784,0.9993826150616784,DSUB_Male,raw/gemma4-12b/original/RGOCG16-50_16mm/RGOCG16-50_16mm.json
gemma4:12b,RGOCG16-50_16mm,16 mm round pin,state_101,0.9999946355818068,0.9999946355818068,0.9999946355818068,A,False,0.9998582601599431,0.9998582601599431,Waterproof_Male,raw/gemma4-12b/state_101/RGOCG16-50_16mm/RGOCG16-50_16mm.json
gemma4:12b,RGOCG16-50_16mm,16 mm round pin,state_202,0.9999951124192492,0.9999951124192492,0.9999951124192492,A,False,0.9993833303414573,0.9993833303414573,DSUB_Male,raw/gemma4-12b/state_202/RGOCG16-50_16mm/RGOCG16-50_16mm.json
gemma4:12b,RGOCG16-50_16mm,16 mm round pin,state_303,0.9999964237213419,0.9999964237213419,0.9999964237213419,A,False,0.9999636411655733,0.9999636411655733,DSUB_Male,raw/gemma4-12b/state_303/RGOCG16-50_16mm/RGOCG16-50_16mm.json
gemma4:12b,RGOCG12-50_12mm,12 mm round pin,original,0.999996542930667,0.999996542930667,0.999996542930667,A,False,0.9993644356905825,0.9993644356905825,DSUB_Male,raw/gemma4-12b/original/RGOCG12-50_12mm/RGOCG12-50_12mm.json
gemma4:12b,RGOCG12-50_12mm,12 mm round pin,state_101,0.9999970197676546,0.9999970197676546,0.9999970197676546,A,False,0.9997084736928655,0.9997084736928655,Waterproof_Male,raw/gemma4-12b/state_101/RGOCG12-50_12mm/RGOCG12-50_12mm.json
gemma4:12b,RGOCG12-50_12mm,12 mm round pin,state_202,0.9999969005585001,0.9999969005585001,0.9999969005585001,A,False,0.9997492432720181,0.9997492432720181,DSUB_Male,raw/gemma4-12b/state_202/RGOCG12-50_12mm/RGOCG12-50_12mm.json
gemma4:12b,RGOCG12-50_12mm,12 mm round pin,state_303,0.999996542930667,0.999996542930667,0.999996542930667,A,False,0.9998849630389968,0.9998849630389968,DSUB_Male,raw/gemma4-12b/state_303/RGOCG12-50_12mm/RGOCG12-50_12mm.json
gemma4:12b,RGOCG8-50_8mm,8 mm round pin,original,0.999996542930667,0.999996542930667,0.999996542930667,A,False,0.9996609687845279,0.9996609687845279,Waterproof_Male,raw/gemma4-12b/original/RGOCG8-50_8mm/RGOCG8-50_8mm.json
