target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,1.000,1.000,0.998,0.964,0.931,1.000,0.000,0.000,0.000,0.000,0.000
Gear_Medium,1.000,1.000,1.000,0.764,0.795,0.999,0.000,0.000,0.000,0.000,0.000
Gear_Small,1.000,1.000,0.998,0.106,0.827,0.999,0.000,0.000,0.000,0.000,0.000
Waterproof_Male,0.000,0.000,0.002,1.000,0.984,1.000,0.001,0.000,0.000,1.000,1.000
M12_Hex_Nut,0.000,0.000,0.000,0.005,1.000,1.000,0.000,0.000,0.000,0.000,0.000
M16_Hex_Nut,0.000,0.000,0.000,0.002,1.000,1.000,0.000,0.000,0.000,0.000,0.000
RGOCG16-50_16mm,0.000,0.000,0.003,0.993,0.000,0.000,1.000,1.000,1.000,0.035,0.999
RGOCG12-50_12mm,0.002,0.000,0.005,0.995,0.000,0.000,1.000,1.000,1.000,0.010,1.000
RGOCG8-50_8mm,0.001,0.000,0.064,0.997,0.000,0.000,1.000,1.000,1.000,0.012,1.000
USB_Male,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.001
DSUB_Male,0.000,0.000,0.000,0.360,0.000,0.009,0.000,0.000,0.000,0.999,1.000
