target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,0.973,0.990,0.994,0.007,0.638,0.542,0.012,0.011,0.009,0.012,0.004
Gear_Medium,0.973,0.990,0.994,0.007,0.638,0.542,0.012,0.011,0.009,0.012,0.004
Gear_Small,0.973,0.990,0.994,0.007,0.638,0.542,0.012,0.011,0.009,0.012,0.004
Waterproof_Male,0.010,0.006,0.036,0.997,0.386,0.511,0.014,0.017,0.016,0.147,0.934
M12_Hex_Nut,0.006,0.007,0.012,0.021,0.947,0.877,0.031,0.039,0.019,0.029,0.016
M16_Hex_Nut,0.006,0.007,0.012,0.021,0.947,0.877,0.031,0.039,0.019,0.029,0.016
RGOCG16-50_16mm,0.016,0.013,0.033,0.075,0.496,0.186,0.994,0.995,0.994,0.044,0.020
RGOCG12-50_12mm,0.016,0.013,0.033,0.075,0.496,0.186,0.994,0.995,0.994,0.044,0.020
RGOCG8-50_8mm,0.016,0.013,0.033,0.075,0.496,0.186,0.994,0.995,0.994,0.044,0.020
USB_Male,0.007,0.005,0.007,0.037,0.025,0.019,0.013,0.019,0.022,0.986,0.124
DSUB_Male,0.011,0.010,0.029,0.682,0.073,0.040,0.013,0.016,0.013,0.730,0.989
