target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,0.976,0.995,0.969,0.012,0.935,0.236,0.014,0.012,0.007,0.015,0.004
Gear_Medium,0.976,0.995,0.969,0.012,0.935,0.236,0.014,0.012,0.007,0.015,0.004
Gear_Small,0.976,0.995,0.969,0.012,0.935,0.236,0.014,0.012,0.007,0.015,0.004
Waterproof_Male,0.012,0.009,0.054,0.993,0.957,0.315,0.013,0.016,0.011,0.339,0.996
M12_Hex_Nut,0.006,0.003,0.027,0.022,0.861,0.848,0.028,0.031,0.023,0.022,0.024
M16_Hex_Nut,0.006,0.003,0.027,0.022,0.861,0.848,0.028,0.031,0.023,0.022,0.024
RGOCG16-50_16mm,0.019,0.005,0.014,0.033,0.289,0.207,0.994,0.993,0.998,0.042,0.015
RGOCG12-50_12mm,0.019,0.005,0.014,0.033,0.289,0.207,0.994,0.993,0.998,0.042,0.015
RGOCG8-50_8mm,0.019,0.005,0.014,0.033,0.289,0.207,0.994,0.993,0.998,0.042,0.015
USB_Male,0.004,0.006,0.006,0.023,0.012,0.014,0.014,0.016,0.015,0.980,0.032
DSUB_Male,0.015,0.010,0.017,0.520,0.181,0.065,0.012,0.009,0.012,0.864,0.979
