target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,0.991,0.996,0.852,0.006,0.152,0.072,0.010,0.009,0.009,0.011,0.003
Gear_Medium,0.991,0.996,0.852,0.006,0.152,0.072,0.010,0.009,0.009,0.011,0.003
Gear_Small,0.991,0.996,0.852,0.006,0.152,0.072,0.010,0.009,0.009,0.011,0.003
Waterproof_Male,0.008,0.007,0.077,0.990,0.593,0.436,0.014,0.012,0.011,0.084,0.999
M12_Hex_Nut,0.006,0.004,0.036,0.032,0.885,0.939,0.022,0.022,0.039,0.011,0.011
M16_Hex_Nut,0.006,0.004,0.036,0.032,0.885,0.939,0.022,0.022,0.039,0.011,0.011
RGOCG16-50_16mm,0.015,0.005,0.084,0.051,0.432,0.109,0.991,0.993,0.995,0.037,0.022
RGOCG12-50_12mm,0.015,0.005,0.084,0.051,0.432,0.109,0.991,0.993,0.995,0.037,0.022
RGOCG8-50_8mm,0.015,0.005,0.084,0.051,0.432,0.109,0.991,0.993,0.995,0.037,0.022
USB_Male,0.005,0.005,0.010,0.033,0.027,0.014,0.015,0.012,0.019,0.985,0.029
DSUB_Male,0.012,0.008,0.029,0.726,0.124,0.028,0.012,0.010,0.012,0.811,0.993
