target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,0.961,0.994,0.995,0.005,0.708,0.796,0.019,0.011,0.010,0.008,0.004
Gear_Medium,0.961,0.994,0.995,0.005,0.708,0.796,0.019,0.011,0.010,0.008,0.004
Gear_Small,0.961,0.994,0.995,0.005,0.708,0.796,0.019,0.011,0.010,0.008,0.004
Waterproof_Male,0.016,0.006,0.019,0.996,0.866,0.584,0.016,0.014,0.016,0.300,0.021
M12_Hex_Nut,0.008,0.003,0.015,0.017,0.959,0.879,0.054,0.054,0.034,0.011,0.007
M16_Hex_Nut,0.008,0.003,0.015,0.017,0.959,0.879,0.054,0.054,0.034,0.011,0.007
RGOCG16-50_16mm,0.018,0.010,0.012,0.043,0.747,0.537,0.987,0.975,0.989,0.023,0.013
RGOCG12-50_12mm,0.018,0.010,0.012,0.043,0.747,0.537,0.987,0.975,0.989,0.023,0.013
RGOCG8-50_8mm,0.018,0.010,0.012,0.043,0.747,0.537,0.987,0.975,0.989,0.023,0.013
USB_Male,0.009,0.003,0.006,0.020,0.020,0.028,0.018,0.019,0.016,0.991,0.025
DSUB_Male,0.022,0.007,0.013,0.745,0.067,0.115,0.019,0.014,0.010,0.823,0.990
