model,state,target,target_name,posthoc_identity,own_object_match,same_family,assisted_fallback,crop_file,crop_sha256,response_file,elapsed_seconds,answer,p_A,p_B,p_C,logp_A,logp_B,logp_C,other_token_probability
qwen3.5:9b,original,Gear_Large,Large gear,Gear_Large,True,True,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-9b/original/Gear_Large/Gear_Large.json,7.285493800009135,A,0.9774237276824911,0.010142709777215113,0.01128623552888266,-0.0228350181132555,-4.591000080108643,-4.484171390533447,0.001147327011411181
qwen3.5:9b,original,Gear_Medium,Medium gear,Gear_Large,False,True,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-9b/original/Gear_Medium/Gear_Large.json,0.3708298999699764,A,0.9775196321532819,0.008119818514954791,0.01356420281826276,-0.02273690328001976,-4.81344747543335,-4.300321102142334,0.0007963465135005787
qwen3.5:9b,original,Gear_Small,Small gear,Gear_Large,False,True,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-9b/original/Gear_Small/Gear_Large.json,0.3616732000373304,A,0.9771748186995125,0.011235942948039807,0.011020679933664677,-0.023089708760380745,-4.488637447357178,-4.507981777191162,0.0005685584187831161
qwen3.5:9b,original,Waterproof_Male,Waterproof connector,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-9b/original/Waterproof_Male/Gear_Large.json,0.3951709999819286,B,0.056841321752623616,0.7198067218666748,0.219066869026454,-2.8674917221069336,-0.32877254486083984,-1.5183782577514648,0.0042850873542475965
qwen3.5:9b,original,M12_Hex_Nut,M12 hex nut,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-9b/original/M12_Hex_Nut/Gear_Large.json,0.38343550002900884,B,0.02234120162826459,0.7999978093847504,0.17606129129659884,-3.8013226985931396,-0.22314628958702087,-1.736923098564148,0.0015996976903861482
qwen3.5:9b,original,M16_Hex_Nut,M16 hex nut,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-9b/original/M16_Hex_Nut/Gear_Large.json,0.3947030000272207,B,0.014956360786881935,0.8371097416355744,0.1458362422737622,-4.202618598937988,-0.17780010402202606,-1.925270915031433,0.002097655303781476
qwen3.5:9b,original,RGOCG16-50_16mm,16 mm round pin,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-9b/original/RGOCG16-50_16mm/Gear_Large.json,0.3825098999659531,A,0.8547682720768609,0.07241893122181235,0.06920813314146376,-0.15692487359046936,-2.6252875328063965,-2.6706368923187256,0.0036046635598629972
qwen3.5:9b,original,RGOCG12-50_12mm,12 mm round pin,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-9b/original/RGOCG12-50_12mm/Gear_Large.json,0.41796079999767244,A,0.8738993433020787,0.05811393558823345,0.06522519749807146,-0.1347900778055191,-2.8453497886657715,-2.7299094200134277,0.002761523611616412
qwen3.5:9b,original,RGOCG8-50_8mm,8 mm round pin,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-9b/original/RGOCG8-50_8mm/Gear_Large.json,0.45911519997753203,A,0.8785860499074569,0.05657125009676749,0.06327153659675841,-0.12944142520427704,-2.8722543716430664,-2.760319709777832,0.0015711633990171947
qwen3.5:9b,original,USB_Male,USB connector + cable,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-9b/original/USB_Male/Gear_Large.json,0.4749623999814503,B,0.0016751934469810864,0.8970851327613537,0.10025490449168202,-6.391826629638672,-0.10860451310873032,-2.300039291381836,0.0009847692999831459
