target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,0.999,0.983,0.963,<=0.014,0.600,0.075,<=0.001,<=0.001,<=0.001,<=0.001,<=0.001
Gear_Medium,0.999,0.957,0.974,<=0.016,0.507,0.188,<=0.002,<=0.003,<=0.001,<=0.001,<=0.001
Gear_Small,0.979,0.990,0.796,<=0.002,0.341,0.137,<=0.001,<=0.004,<=0.001,<=0.001,<=0.001
Waterproof_Male,<=0.007,<=0.002,<=0.002,0.953,<=0.001,<=0.010,<=0.006,<=0.002,<=0.001,<=0.001,0.331
M12_Hex_Nut,<=0.002,0.021,<=0.005,<=0.018,0.533,0.446,<=0.001,<=0.001,<=0.001,<=0.001,<=0.001
M16_Hex_Nut,<=0.001,0.994,<=0.002,<=0.001,0.763,0.944,<=0.001,<=0.001,<=0.001,<=0.001,<=0.001
RGOCG16-50_16mm,<=0.001,<=0.001,<=0.001,<=0.001,<=0.003,<=0.001,1.000,1.000,1.000,<=0.001,<=0.001
RGOCG12-50_12mm,<=0.001,<=0.001,<=0.001,<=0.001,<=0.019,<=0.014,1.000,1.000,1.000,<=0.001,<=0.001
RGOCG8-50_8mm,<=0.001,<=0.001,<=0.001,<=0.001,<=0.005,<=0.002,1.000,1.000,1.000,<=0.001,<=0.001
USB_Male,<=0.001,<=0.004,<=0.001,<=0.005,<=0.008,<=0.002,<=0.001,<=0.001,<=0.002,0.999,<=0.001
DSUB_Male,<=0.001,<=0.001,<=0.001,0.025,<=0.001,<=0.004,<=0.002,<=0.004,<=0.001,<=0.001,0.982
