target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,0.996,0.951,0.039,0.157,0.755,0.030,<=0.002,<=0.001,<=0.018,<=0.001,<=0.001
Gear_Medium,0.999,0.845,0.036,0.089,0.253,0.383,<=0.001,<=0.001,<=0.001,<=0.001,<=0.001
Gear_Small,0.992,0.852,0.030,0.059,0.670,0.070,<=0.001,<=0.001,<=0.001,<=0.001,<=0.001
Waterproof_Male,<=0.001,<=0.014,<=0.013,0.234,<=0.002,0.049,<=0.015,<=0.001,<=0.001,<=0.001,0.993
M12_Hex_Nut,<=0.001,<=0.008,<=0.020,0.180,0.743,0.923,<=0.001,<=0.001,<=0.001,<=0.001,<=0.001
M16_Hex_Nut,<=0.001,0.013,<=0.008,0.101,0.834,0.990,<=0.001,<=0.001,<=0.001,<=0.001,<=0.001
RGOCG16-50_16mm,<=0.001,0.058,<=0.013,<=0.004,<=0.011,0.088,1.000,1.000,0.999,<=0.001,<=0.001
RGOCG12-50_12mm,<=0.001,0.781,<=0.011,<=0.001,0.029,0.101,1.000,1.000,1.000,<=0.001,<=0.001
RGOCG8-50_8mm,<=0.001,<=0.001,<=0.003,<=0.001,<=0.010,0.119,1.000,1.000,1.000,<=0.001,<=0.005
USB_Male,<=0.006,<=0.001,<=0.011,<=0.012,<=0.001,<=0.001,<=0.003,<=0.001,<=0.008,0.994,<=0.002
DSUB_Male,<=0.001,<=0.001,<=0.006,<=0.019,<=0.001,<=0.005,<=0.001,<=0.001,<=0.002,<=0.001,0.815
