target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,0.882,0.914,0.784,0.089,0.691,0.322,0.051,0.046,0.037,0.018,0.026
Gear_Medium,0.882,0.914,0.784,0.089,0.691,0.322,0.051,0.046,0.037,0.018,0.026
Gear_Small,0.882,0.914,0.784,0.089,0.691,0.322,0.051,0.046,0.037,0.018,0.026
Waterproof_Male,0.086,0.101,0.217,0.815,0.760,0.498,0.064,0.071,0.061,0.396,0.899
M12_Hex_Nut,0.063,0.056,0.060,0.064,0.775,0.817,0.035,0.041,0.041,0.036,0.039
M16_Hex_Nut,0.063,0.056,0.060,0.064,0.775,0.817,0.035,0.041,0.041,0.036,0.039
RGOCG16-50_16mm,0.043,0.028,0.054,0.088,0.385,0.152,0.868,0.912,0.911,0.248,0.101
RGOCG12-50_12mm,0.043,0.028,0.054,0.088,0.385,0.152,0.868,0.912,0.911,0.248,0.101
RGOCG8-50_8mm,0.043,0.028,0.054,0.088,0.385,0.152,0.868,0.912,0.911,0.248,0.101
USB_Male,0.021,0.016,0.016,0.137,0.160,0.042,0.039,0.047,0.042,0.901,0.224
DSUB_Male,0.030,0.039,0.044,0.502,0.217,0.135,0.037,0.033,0.032,0.754,0.861
