target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,0.890,0.909,0.921,0.062,0.431,0.865,0.046,0.039,0.045,0.019,0.036
Gear_Medium,0.890,0.909,0.921,0.062,0.431,0.865,0.046,0.039,0.045,0.019,0.036
Gear_Small,0.890,0.909,0.921,0.062,0.431,0.865,0.046,0.039,0.045,0.019,0.036
Waterproof_Male,0.059,0.077,0.190,0.885,0.595,0.537,0.057,0.069,0.052,0.388,0.595
M12_Hex_Nut,0.043,0.048,0.058,0.067,0.734,0.394,0.045,0.047,0.044,0.016,0.048
M16_Hex_Nut,0.043,0.048,0.058,0.067,0.734,0.394,0.045,0.047,0.044,0.016,0.048
RGOCG16-50_16mm,0.044,0.032,0.046,0.118,0.317,0.408,0.872,0.860,0.898,0.113,0.146
RGOCG12-50_12mm,0.044,0.032,0.046,0.118,0.317,0.408,0.872,0.860,0.898,0.113,0.146
RGOCG8-50_8mm,0.044,0.032,0.046,0.118,0.317,0.408,0.872,0.860,0.898,0.113,0.146
USB_Male,0.016,0.016,0.022,0.066,0.054,0.054,0.046,0.055,0.051,0.886,0.290
DSUB_Male,0.029,0.030,0.030,0.410,0.121,0.175,0.038,0.032,0.032,0.759,0.857
